layer,original,F1,F2,F3,F1+L,F2+L,F3+L
12,0.7429941892623901,0.947725772857666,0.722166895866394,0.6842926144599915,0.4559074342250824,0.46348515152931213,0.49976468086242676
14,0.7796721458435059,0.9505735635757446,0.9628820419311523,0.8863945007324219,0.5145245790481567,0.4872995913028717,0.5050472617149353
16,0.809537410736084,0.9260872006416321,0.9697924852371216,0.853233814239502,0.6697086095809937,0.6516948938369751,0.6230772137641907
18,0.7937521934509277,0.9014436602592468,0.9482696652412415,0.7833229303359985,0.6142135262489319,0.6516667604446411,0.6572818756103516
20,0.8615867495536804,0.9239183664321899,0.9566553831100464,0.7183599472045898,0.5529915690422058,0.569474458694458,0.6252460479736328
