layer,F1,F2,F3,F1+L,F2+L,F3+L
12,0.9710199236869812,0.8164345026016235,0.5916894674301147,0.49088358879089355,0.4984479546546936,0.49824628233909607
14,0.9721773266792297,0.95844966173172,0.7965765595436096,0.500488817691803,0.49757546186447144,0.5047334432601929
16,0.9652296900749207,0.9673216938972473,0.878955066204071,0.50416499376297,0.5022236704826355,0.502435564994812
18,0.957850456237793,0.9495889544487,0.8458130955696106,0.5025039911270142,0.48312562704086304,0.5100648999214172
20,0.9682536125183105,0.9002248644828796,0.7715127468109131,0.5145508050918579,0.5074298977851868,0.5070019960403442
