layer,F1 -> F1+L,F2 -> F2+L,F3 -> F3+L,F1+K -> F1+L+K,F2+K -> F2+L+K,F3+K -> F3+L+K
12,0.8608930706977844,0.8021187782287598,0.6655765771865845,0.8553948402404785,0.7017930746078491,0.6035628318786621
14,0.8564065098762512,0.9032392501831055,0.8488275408744812,0.8376304507255554,0.7971978187561035,0.702458918094635
16,0.8804659843444824,0.9124253988265991,0.8703659772872925,0.8380497694015503,0.8356984257698059,0.8138593435287476
18,0.8882042169570923,0.9267099499702454,0.867048442363739,0.8728343844413757,0.8833903074264526,0.8181442022323608
20,0.8952625393867493,0.9334473609924316,0.8530956506729126,0.8578680157661438,0.8596894145011902,0.7933040857315063
