layer,F1 -> F1+L,F2 -> F2+L,F3 -> F3+L,F1+K -> F1+L+K,F2+K -> F2+L+K,F3+K -> F3+L+K
12,0.49021196365356445,0.47382307052612305,0.48467200994491577,0.8629600405693054,0.8018304705619812,0.6584826707839966
14,0.5039995908737183,0.5146751999855042,0.5239032506942749,0.8599192500114441,0.899202823638916,0.8582583665847778
16,0.5079833269119263,0.5353827476501465,0.5793684124946594,0.8812144994735718,0.9065173268318176,0.8652191162109375
18,0.5092786550521851,0.5352736711502075,0.583156943321228,0.8929783701896667,0.9259990453720093,0.8697541356086731
20,0.5132649540901184,0.5772293210029602,0.6221242547035217,0.8846672177314758,0.9240759015083313,0.8498266339302063
