layer,F1 -> F1+L,F2 -> F2+L,F3 -> F3+L,F1+K -> F1+L+K,F2+K -> F2+L+K,F3+K -> F3+L+K
12,0.8492141962051392,0.7250819206237793,0.6212465763092041,0.8118607401847839,0.6768912076950073,0.5681272745132446
14,0.9064086675643921,0.8320015072822571,0.7740387916564941,0.8499630093574524,0.8016730546951294,0.6940089464187622
16,0.9195785522460938,0.872525691986084,0.8009231686592102,0.8223674893379211,0.8462231755256653,0.722244381904602
18,0.9100266695022583,0.886094868183136,0.8204034566879272,0.8156946897506714,0.8543816804885864,0.7677913904190063
20,0.9060159921646118,0.8750160336494446,0.8381651043891907,0.813343346118927,0.8432935476303101,0.7667554020881653
