layer,F1,F2,F3,F1+L,F2+L,F3+L
12,0.9727409482002258,0.8618771433830261,0.6832542419433594,0.5075736045837402,0.4935538172721863,0.49986696243286133
14,0.9648687243461609,0.9284071922302246,0.9070466160774231,0.5218577980995178,0.5052732825279236,0.5205501914024353
16,0.9649618864059448,0.8826322555541992,0.8844771385192871,0.4686531126499176,0.500484049320221,0.5760444402694702
18,0.9619895219802856,0.8599438667297363,0.8593183755874634,0.5127031207084656,0.6759127974510193,0.5693527460098267
20,0.9577388763427734,0.760449230670929,0.8112818598747253,0.5011725425720215,0.6306858658790588,0.5363532900810242
