layer,original,F1,F2,F3,F1+L,F2+L,F3+L
12,0.9773086309432983,0.9609996676445007,0.9229850769042969,0.7591328620910645,0.4955042898654938,0.5030775666236877,0.49604445695877075
14,0.9697052836418152,0.9051306843757629,0.9604916572570801,0.9321150779724121,0.5034158825874329,0.5328947305679321,0.5042169690132141
16,0.9639058113098145,0.8530627489089966,0.9423334002494812,0.9149585962295532,0.49852949380874634,0.5171412825584412,0.5170424580574036
18,0.9577552080154419,0.8130319714546204,0.9571456909179688,0.9200080633163452,0.4961696267127991,0.5331056118011475,0.5346073508262634
20,0.9564383625984192,0.8242858052253723,0.9446797370910645,0.9224788546562195,0.4895196557044983,0.5432032346725464,0.5190082788467407
