layer,F1 -> F1+L,F2 -> F2+L,F3 -> F3+L,F1+K -> F1+L+K,F2+K -> F2+L+K,F3+K -> F3+L+K
12,0.5019904375076294,0.4710169732570648,0.49838605523109436,0.8503430485725403,0.7186126708984375,0.6327462792396545
14,0.5089038610458374,0.545104444026947,0.5205900073051453,0.907495379447937,0.8274195790290833,0.7693963646888733
16,0.46334704756736755,0.6482123732566833,0.6099289059638977,0.9230440855026245,0.8753926157951355,0.8011628985404968
18,0.5107742547988892,0.671586811542511,0.6789315938949585,0.9148086309432983,0.8812665939331055,0.8234635591506958
20,0.503708004951477,0.6376513242721558,0.6561266183853149,0.909594714641571,0.8777368664741516,0.8388547897338867
