layer,F1 -> F1+L,F2 -> F2+L,F3 -> F3+L,F1+K -> F1+L+K,F2+K -> F2+L+K,F3+K -> F3+L+K
12,0.8474462628364563,0.7849103808403015,0.6676425337791443,0.8360501527786255,0.6774588823318481,0.5273715853691101
14,0.8091263771057129,0.8282550573348999,0.8481747508049011,0.8171557188034058,0.7822246551513672,0.6565815210342407
16,0.8704208135604858,0.83723384141922,0.8456752896308899,0.8187249302864075,0.8256537318229675,0.8073561787605286
18,0.8587356805801392,0.8556796312332153,0.8530617952346802,0.8461718559265137,0.8547979593276978,0.8065978288650513
20,0.8785508871078491,0.8542497754096985,0.8378095626831055,0.8173284530639648,0.8325170278549194,0.7928518056869507
