layer,F1,F2,F3,F1+L,F2+L,F3+L
12,0.9500870704650879,0.6728653907775879,0.5859637260437012,0.46805253624916077,0.4893593192100525,0.49490517377853394
14,0.9646216630935669,0.8793941736221313,0.7385859489440918,0.4976971745491028,0.4497939646244049,0.47292882204055786
16,0.9596531987190247,0.9217293858528137,0.8538878560066223,0.6171201467514038,0.5763078927993774,0.5580825209617615
18,0.9603999853134155,0.8849571943283081,0.7722940444946289,0.5210241079330444,0.45809000730514526,0.493258535861969
20,0.9598859548568726,0.8220747113227844,0.7175883054733276,0.5439101457595825,0.46414604783058167,0.5207948684692383
