layer,F1 -> F1+L,F2 -> F2+L,F3 -> F3+L,F1+K -> F1+L+K,F2+K -> F2+L+K,F3+K -> F3+L+K
12,0.4571414887905121,0.4818263649940491,0.49203309416770935,0.8481963872909546,0.7880056500434875,0.6671344041824341
14,0.5007094144821167,0.5020238161087036,0.536289393901825,0.8013410568237305,0.8191272020339966,0.8457798957824707
16,0.6012989282608032,0.5486483573913574,0.5923676490783691,0.8703028559684753,0.8517507314682007,0.842607319355011
18,0.5035231709480286,0.4995950758457184,0.5649641752243042,0.8638702630996704,0.846727728843689,0.84746915102005
20,0.5511128306388855,0.5416566729545593,0.5552308559417725,0.8763092160224915,0.8555876016616821,0.8457075953483582
