layer,original,F1,F2,F3,F1+L,F2+L,F3+L
12,0.6322765350341797,0.9313777685165405,0.7636247277259827,0.7422475814819336,0.4848267436027527,0.4715372622013092,0.4959183633327484
14,0.6345922350883484,0.896307110786438,0.9364638328552246,0.8702142834663391,0.5335385203361511,0.46552854776382446,0.4848276674747467
16,0.7281478643417358,0.8858203887939453,0.9492074251174927,0.8712242245674133,0.7006741762161255,0.721890926361084,0.6316016316413879
18,0.6648508310317993,0.8466449975967407,0.9278608560562134,0.8297505378723145,0.7058365345001221,0.685849130153656,0.6198424100875854
20,0.8120148777961731,0.8910161852836609,0.932598888874054,0.7984633445739746,0.6112643480300903,0.6199299693107605,0.6191958785057068
