layer,F1,F2,F3,F1+L,F2+L,F3+L
12,0.9535926580429077,0.8733506202697754,0.6765850782394409,0.5440928339958191,0.48197460174560547,0.49982088804244995
14,0.935521125793457,0.875779926776886,0.8570429086685181,0.5464104413986206,0.5337966084480286,0.5274799466133118
16,0.9331536293029785,0.9290057420730591,0.895150363445282,0.43898624181747437,0.45277562737464905,0.57566899061203
18,0.9374626874923706,0.8922174572944641,0.8672404289245605,0.6081000566482544,0.722388744354248,0.6569972038269043
20,0.9307829737663269,0.8703839182853699,0.8677538633346558,0.5857183337211609,0.6947618722915649,0.6105881929397583
