layer,F1 -> F1+L,F2 -> F2+L,F3 -> F3+L,F1+K -> F1+L+K,F2+K -> F2+L+K,F3+K -> F3+L+K
12,0.8376907110214233,0.7144263982772827,0.6146844625473022,0.7941755056381226,0.6356396675109863,0.562321662902832
14,0.8750287294387817,0.7742310166358948,0.7491315603256226,0.823868453502655,0.7685083150863647,0.6846336126327515
16,0.8932192921638489,0.8459952473640442,0.7918190360069275,0.7888159155845642,0.8161334991455078,0.7379385232925415
18,0.8868168592453003,0.8627833127975464,0.8034988641738892,0.8040752410888672,0.792921245098114,0.7741613984107971
20,0.8782275915145874,0.82244473695755,0.8198081254959106,0.7851383686065674,0.7827080488204956,0.7728172540664673
