layer,F1 -> F1+L,F2 -> F2+L,F3 -> F3+L,F1+K -> F1+L+K,F2+K -> F2+L+K,F3+K -> F3+L+K
12,0.5561649203300476,0.45140641927719116,0.4965364336967468,0.8323893547058105,0.7045367956161499,0.6155202984809875
14,0.5303945541381836,0.5840049982070923,0.537018895149231,0.8793293833732605,0.7889218330383301,0.750907838344574
16,0.4602086544036865,0.6839678883552551,0.546843409538269,0.8982052803039551,0.8491676449775696,0.7927280068397522
18,0.6214901208877563,0.760254979133606,0.6343241930007935,0.88664311170578,0.8569592237472534,0.7942153811454773
20,0.594565212726593,0.6376985311508179,0.6314865946769714,0.8796679377555847,0.8290877342224121,0.832788348197937
