layer,original,F1,F2,F3,F1+L,F2+L,F3+L
12,0.9671708345413208,0.9391402006149292,0.9105907678604126,0.7157942056655884,0.4708595275878906,0.4813217520713806,0.4896417558193207
14,0.9659903645515442,0.8826231956481934,0.9482040405273438,0.9058576822280884,0.5736745595932007,0.5084706544876099,0.4955815374851227
16,0.9521450996398926,0.8511914014816284,0.8938585519790649,0.8711002469062805,0.5007762312889099,0.48719125986099243,0.5123262405395508
18,0.9424930810928345,0.8424809575080872,0.9352188110351562,0.9137129783630371,0.5418341755867004,0.6035409569740295,0.6120748519897461
20,0.9381329417228699,0.8432732820510864,0.9210954904556274,0.9024301767349243,0.42219939827919006,0.5623902678489685,0.584371030330658
