layer,original,F1,F2,F3,F1+L,F2+L,F3+L
12,0.950724720954895,0.7687997817993164,0.898025631904602,0.7554219961166382,0.5,0.4948549270629883,0.5037156343460083
14,0.900275707244873,0.5,0.9126917123794556,0.8035417795181274,0.5104767680168152,0.5391151905059814,0.49665865302085876
16,0.8827705383300781,0.500482439994812,0.8064578771591187,0.7935754060745239,0.5,0.5053245425224304,0.5408345460891724
18,0.8563581705093384,0.5053897500038147,0.7483859658241272,0.7527443766593933,0.5000133514404297,0.5199571847915649,0.5350910425186157
20,0.8441232442855835,0.5168169736862183,0.7895879149436951,0.8194462656974792,0.5,0.4995441436767578,0.5194438695907593
