layer,F1 -> F1+L,F2 -> F2+L,F3 -> F3+L,F1+K -> F1+L+K,F2+K -> F2+L+K,F3+K -> F3+L+K
12,0.5,0.5160862803459167,0.5037156343460083,0.5691319704055786,0.4948549270629883,0.5037156343460083
14,0.4852426052093506,0.5051450729370117,0.4962843358516693,0.5339660048484802,0.5288611650466919,0.5037290453910828
16,0.5006782412528992,0.5051450729370117,0.4962843358516693,0.5898283123970032,0.5374244451522827,0.5041301250457764
18,0.5259358286857605,0.5051450729370117,0.4962843358516693,0.695900022983551,0.5027559995651245,0.5037156343460083
20,0.5007317066192627,0.5051450729370117,0.4962843358516693,0.6561180353164673,0.4948549270629883,0.5037156343460083
