layer,F1,F2,F3,F1+L,F2+L,F3+L
12,0.9479074478149414,0.8892295956611633,0.7343000173568726,0.5,0.4948549270629883,0.5037156343460083
14,0.9230944514274597,0.5126620531082153,0.5040749311447144,0.48925748467445374,0.4948549270629883,0.5037156343460083
16,0.9130401611328125,0.5051450729370117,0.49616241455078125,0.5007451176643372,0.5567862391471863,0.5037423968315125
18,0.8843631744384766,0.5051450729370117,0.4965103268623352,0.5226062536239624,0.5815378427505493,0.5537710785865784
20,0.859375,0.5071991682052612,0.5358605980873108,0.5008536577224731,0.5022939443588257,0.5037156343460083
