layer,F1 -> F1+L,F2 -> F2+L,F3 -> F3+L,F1+K -> F1+L+K,F2+K -> F2+L+K,F3+K -> F3+L+K
12,0.5805977582931519,0.4948549270629883,0.5037156343460083,0.5,0.4948549270629883,0.5004650354385376
14,0.5318811535835266,0.5301944613456726,0.5042151212692261,0.5,0.4949113726615906,0.529356837272644
16,0.5929746031761169,0.5366695523262024,0.5038776993751526,0.5252949595451355,0.4948549270629883,0.5037156343460083
18,0.696845531463623,0.5009932518005371,0.5037156343460083,0.5117780566215515,0.4948549270629883,0.5037156343460083
20,0.670881986618042,0.49486827850341797,0.5037156343460083,0.5010026693344116,0.4948549270629883,0.5037156343460083
